Rank,Name,Elevation,Prominence,Latitude,Longitude,State
109,TILLOTSON PK,2998,390,44.8058,-72.5509,VT
110,BEAR,2996,406,43.8703,-72.9556,VT
111,UNNAMED (READSBORO),2995,604,42.82437,-72.94407,VT
112,E KNOX,2990,300,44.1683,-72.34001,VT
113,MEACHAM SWAMP PEAK,2972,1142,44.9023,-71.6318,VT
114,UNNAMED (STAMFORD POND PEAK),2970,560,42.81672,-73.05897,VT
115,CLARK,2970,380,44.47889,-72.8414,VT
116,MOLLY STARK,2967,590,44.22194,-72.92665,VT
117,NETOP,2964,494,43.277,-73.0299,VT
118,N RICE,2963,709,42.98722,-72.83612,VT
119,PETE PARENT,2962,394,43.32194,-72.90473,VT
120,UNNAMED (BLUE BROOK),2956,545,42.99416,-72.87334,VT
121,GILLESPIE,2956,766,43.95611,-72.87612,VT
122,ROCHESTER,2953,623,43.86694,-72.74834,VT
123,RICE HILL,2950,236,42.97833,-72.8275,VT
124,MIDDLE,2947,677,44.91722,-71.83168,VT
125,GLEBE,2942,1378,43.18888,-72.76084,VT
126,LYE BROOK MEADOWS PEAK,2941,311,43.08084,-73.04601,VT
127,BUCHANAN,2940,449,44.87861,-72.50917,VT
128,STRATTON POND PEAK,2939,312,43.11416,-72.96972,VT
129,ROUND,2932,222,44.93305,-71.7875,VT
130,N SNOW,2929,241,42.9894444,-72.9097222,VT
131,W WINDFARM,2923,433,42.8719444,-72.9844444,VT
132,DOMEYS DOME,2923,276,44.8913889,-72.4997222,VT
133,SCRUB HILL,2916,226,42.8052778,-73.1077778,VT
134,SCRAG,2911,541,44.1561111,-72.7727778,VT
135,NS BRAINTREE,2895,345,43.9341,-72.7764,VT
136,GOODWIN,2890,420,44.7741667,-72.0069444,VT
137,DOWNER GLEN PEAK,2886,,43.1377778,-73.0136111,VT
138,NE DEVILS DEN PEAK,2883,748,43.3597222,-72.8725,VT
139,DARNING NEEDLE,2883,,43.7352,-72.8488,VT
140,TERRIBLE,2882,668,43.3135,-72.7436,VT
141,S TILLOTSON,2881,219,44.7957,-72.5597,VT
142,BUCKBALL PEAK,2864,237,43.3428,-72.9427,VT
143,BALD,2857,367,42.9221,-73.1439,VT
144,S LINCOLN GAP PEAK,2850,215,44.08083,-72.928,VT
145,RED,2846,836,43.108,-73.168,VT
146,NN TERRIBLE,2844,512,43.3402,-72.7558,VT
147,NW KNOX,2837,230,44.1706,-72.3679,VT
148,CHATEAUGUAY PEAK,2836,1486,43.678,-72.6721,VT
149,TINMOUTH,2835,1225,43.4194,-73.0761,VT
150,MT HOLLY PEAK,2824,413,43.3749,-72.8436,VT
151,S ROXBURY GAP PEAK,2823,393,44.0893,-72.7902,VT
152,BLACK,2822,592,44.9271,-71.7475,VT
153,NE S POND PEAK,2810,480,43.7184,-72.8673,VT
154,JOBS,2810,420,44.7613,-71.9636,VT
155,PEABODY HILL,2808,574,43.3252,-72.8374,VT
156,ELBOW PEAK,2808,658,43.68222,-72.8577,VT
157,WOLF HILL,2805,815,43.7094,-72.7874,VT
158,SPRUCE PEAK,2803,273,43.2397,-73.1411,VT
159,BURNT,2803,653,43.5416,-72.7722,VT
160,LARAWAY,2795,1527,44.7259,-72.7119,VT
161,S NORTHFIELD,2790,250,43.9775,-72.8027,VT
162,S BLUFF,2789,459,44.858,-71.8625,VT
163,EAST,2787,777,43.6526,-72.7518,VT
164,SW COLD HOLLOW,2785,430,44.7764,-72.7105,VT
165,CHESTER ARTHUR,2785,225,44.03967,-72.8633,VT
166,THE DOME,2784,718,42.7788,-73.1704,VT
167,WILDER,2782,456,43.3955,-72.91,VT
168,WHEELOCK,2782,1355,44.5576,-72.16,VT
169,DORSET HILL,2782,292,43.2606,-73.0328,VT
170,DEER LEAP,2782,532,43.67,-72.8363,VT
171,NORTH POND PEAK,2781,291,43.7435,-72.8822,VT
172,WILLARD,2778,400,43.3878,-72.8922,VT
173,S BRAINTREE,2778,218,43.9232,-72.7671,VT
174,N BLUFF,2774,304,44.8958,-71.8481,VT
175,PROSPECT,2767,297,42.875,-73.06667,VT
176,PISGAH,2766,649,44.7296,-72.0303,VT
177,BULL,2758,548,44.7299,-71.839,VT
178,THE BALL,2755,305,43.0623,-73.1965,VT
179,NICKWAKET,2753,1063,43.7788,-72.994,VT
180,KIRBY,2750,780,44.5471,-71.9044,VT
181,CUSHMAN,2750,280,43.8974,-72.7648,VT
182,SS BRAINTREE,2748,248,43.91357,-72.76584,VT
183,STONE,2736,846,44.561,-71.6659,VT
184,SE PHILADELPHIA,2735,405,43.8882,-72.8624,VT
185,SABLE,2734,544,44.9226,-71.6862,VT
186,WEST,2733,1123,44.7093,-71.7043,VT
187,N ELBOW,2730,320,43.7077,-72.8658,VT
188,LITTLE WILCOX,2730,360,43.8199,-72.829,VT
189,HERRICK,2726,1536,43.5625,-73.099,VT
190,HAYSTACK,2723,391,44.7461,-72.002,VT
191,BROUSSEAU,2723,913,44.968,-71.7394,VT
192,E ROUND,2714,304,44.9373,-71.7728,VT
193,DAVES,2707,317,43.7321,-72.871,VT
194,N TERRIBLE,2706,334,43.3298,-72.7532,VT
195,UNNAMED (N SHAGBACK),2704,206,43.6184,-72.7826,VT
196,PIGEON POND PEAK,2702,552,44.2426,-72.3145,VT
197,SOUTH POND PEAK,2696,247,43.7097,-72.8759,VT
198,DEVILS DEN PEAK,2694,268,43.3483,-72.8771,VT
199,MILES,2690,1340,44.4804,-71.8117,VT
200,DELECTABLE,2690,,43.7003,-72.6804,VT
