Rank,Name,Elevation,Latitude,Longitude,State
1,MT MARCY,5344,44.1125,-73.92416667,NY
2,ALGONQUIN PK,5115,44.14361111,-73.98694444,NY
3,MT HAYSTACK,4961,44.10555556,-73.90111111,NY
4,MT SKYLIGHT,4925,44.09944444,-73.93138889,NY
5,WHITEFACE MTN,4865,44.36555556,-73.90361111,NY
6,IROQUOIS PK,4849,44.13694444,-73.99861111,NY
7,DIX MTN,4839,44.08222222,-73.78666667,NY
8,GRAY PEAK,4826,44.11138889,-73.93555556,NY
9,BASIN MTN,4826,44.12111111,-73.88694444,NY
10,GOTHICS,4734,44.12777778,-73.85777778,NY
11,MT COLDEN,4715,44.12694444,-73.96055556,NY
12,GIANT MTN,4626,44.16111111,-73.72055556,NY
13,NIPPLE TOP,4610,44.08888889,-73.81638889,NY
14,SANTANONI PK,4606,44.08222222,-74.13138889,NY
15,MT REDFIELD,4606,44.09472222,-73.95027778,NY
16,WRIGHT PK,4587,44.15166667,-73.98,NY
17,SADDLEBACK MTN,4528,44.12638889,-73.87527778,NY
18,ARMSTRONG MTN,4446,44.13444444,-73.85,NY
19,PANTHER PK,4442,44.09833333,-74.13277778,NY
20,TABLE TOP MTN,4413,44.14055556,-73.91666667,NY
21,HOUGH PK,4409,44.06944444,-73.77805556,NY
22,MACOMB MTN,4390,44.05166667,-73.78027778,NY
23,ROCKY PEAK RIDGE,4383,44.15416667,-73.70583333,NY
24,MT MARSHALL,4380,44.1275,-74.0125,NY
25,SEWARD MTN,4347,44.15972222,-74.2,NY
26,ALLEN MTN,4347,44.07083333,-73.94,NY
27,TABLE TOP MTN (E PK),4304,44.14361111,-73.90777778,NY
28,BIG SLIDE MTN,4249,44.18222222,-73.87138889,NY
29,ESTHER MTN,4239,44.38694444,-73.89027778,NY
30,UPPER WOLFJAW MTN,4203,44.14027778,-73.84583333,NY
31,SLIDE MTN,4190,41.99916667,-74.38611111,NY
32,LOWER WOLFJAW MTN,4173,44.14805556,-73.83305556,NY
33,PHELPS MTN,4160,44.15694444,-73.92166667,NY
34,STREET MTN,4150,44.17944444,-74.0275,NY
35,SAWTEETH,4150,44.11444444,-73.85055556,NY
36,DONALDSON MTN,4108,44.15388889,-74.21194444,NY
37,CASCADE MTN,4098,44.21833333,-73.86055556,NY
38,SEYMOUR MTN,4091,44.15805556,-74.17277778,NY
39,SOUTH DIX,4085,44.06,-73.77472222,NY
40,PORTER MTN,4085,44.21222222,-73.85416667,NY
41,MT COLVIN,4085,44.09388889,-73.83472222,NY
42,HUNTER MTN,4050,42.1775,-74.23083333,NY
43,MT EMMONS,4039,44.14388889,-74.21472222,NY
44,DIAL MTN,4019,44.10583333,-73.79666667,NY
45,YARD MTN,4009,44.17444444,-73.88527778,NY
46,EAST DIX,4006,44.06527778,-73.75777778,NY
